item - P291 - original;item - P291 - QItem
سان باولو;Q174
;
;
;
;
مكة;Q5806
;
;
;
;
;
;
;
بيروت;Q3820
;
;
بيروت;Q3820
;
;
;
;
;
;
بيروت;Q3820
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
القاهرة;Q85
;
;
;
الحدث;Q3125532
;
;
;
;
;
بونس أيرس;Q1486
;
بيروت;Q3820
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
برلين;Q64
;
Berlin;Q64
;
Berlin;Q64
;
;
;
;
;
;
;
;
;
تونس;Q3572
;
بغداد;Q1530
;
;
;
;
;
;
تونس;Q3572
;
;
;
;
القاهرة;Q85
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
بغداد;Q1530
;
نيويورك;Q60
;
;
;
طنجة;Q49295430
;
;
;
القاهرة;Q85
;
;
;
;
;
;
;
;
;
;
Ḩimş;Q3805
;
;
;
;
;
حلب;Q41183
;
تونس;Q3572
;
القاهرة;Q85
;
;
;
;
;
;
;
;
;
;
;
بيروت;Q3820
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
دمشق;Q3766
;
;
;
بغداد;Q1530
;
صيدا;Q163490
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
الإسكندرية;Q87
;
;
;
تونس;Q3572
;
;
;
;
;
;
حلب;Q41183
;
;
;
تونس;Q3572
;
بغداد;Q1530
;
القاهرة;Q85
;
;
;
;
;
;
القاهرة;Q85
;
;
;
;
;
;
;
;
القاهرة;Q85
;
;
;
;
;
;
;
;
;
;
;
تونس;Q3572
;
بولاق;Q1003523
;
;
;
;
;
حيفا;Q41621
;
;
;
;
;
بغداد;Q1530
;
بيروت;Q3820
;
;
;
;
;
;
;
;
;
;
;
القاهرة;Q85
;
;
;
;
القاهرة;Q85
;
;
;
;
;
;
;
;
;
;
;
القدس;Q1218
;
;
;
;
;
القدس;Q1218
;
;
;
;
;
;
نيويورك;Q60
;
بيروت;Q3820
;
;
;
;
;
القدس;Q1218
;
;
;
طنجة;Q49295430
;
بغداد;Q1530
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
بغداد;Q1530
;
بولاق;Q1003523
;
;
;
;
