id	title	title_source	start	title_uri	ccodes	matches	variants	aat_types	parent_name	parent_id	lon	lat	geowkt	geo_source	geo_id	end	description
1	Ottoman Empire	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml			Ottoman Empire@en; الولايات العثمانية@ar; البلاد العثمانية@ar; الدولة العثمانية@ar; المملكة العثمانية@ar; Turkey@en				35	39					
2	قصر ييلدز	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml			قصر ييلدز@ar; ييلدز@ota										
3	Istanbul	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:745044	Constantinople@; İstanbul@; Astāna@ar-Latn-x-ijmes; Istanbul@en; Consple@en; Constple@en; الأستانة@ar; الاستانة@ar; الآستانة@ar; دار السلطنة@ar; القسطنطينية@ar; استانبول@ar; Byzance@fr; Istanbul@fr; Byzantion@de; Istanbul@de; İstanbul@tr				28.94966	41.01384					
590	بلاد دمشق	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml			بلاد دمشق@ar										
4	Greater Syria	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:6754242	Bilād al-Shām@ar-Latn-x-ijmes; بلاد الشام@ar; Greater Syria@en				44.84908	32.8686					
6	Jerusalem	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:281184	القدس@ar; القدس الشريف@ar; بيت المقدس@ar; Jerusalem@en; al-Quds@ar-Latn-x-ijmes; al-Quds al-Sharīf@ar-Latn-x-ijmes; Jérusalem@fr; Jerusalem@de; Kudüs@tr				35.21633	31.76904					
7	Nabatiye	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:7870014	النبطية@ar; Nabatäa@de; Nebatiye@tr; al-Nabaṭiyya@ar-Latn-x-ijmes; Nabatiye@en				35.48383	33.37717					
12	Jaffa	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:293253	Jaffa@; Yafo@; Jaffa@en; يافا@ar; Yāfā@ar-Latn-x-ijmes; Jaffa@fr; Jaffa@de				34.75224	32.05043					
5	جبل عامل	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:278960	جبل عامل@; جبل عامل@ar				35.36667	33.16667					
8	Tyre	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:267008	Tyre@en; صور@ar; Sour@fr; Sur@de				35.19389	33.27333					
9	Sidon	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:268064	Saida@; Saïda@; Ṣaydā@ar-Latn-x-ijmes; Sidon@en; صيدا@ar; Sidon@fr; Sidon@de; Sayda@tr				35.37148	33.55751					
583	اروفة	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml			اروفة@ar										
593	جامع القيقان	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml			جامع القيقان@ar										
597	رعبان	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml			رعبان@ar										
605	قلعة الروم	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml			قلعة الروم@ar										
607	كبدوكية	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml			كبدوكية@ar										
608	كفرنابو	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml			كفرنابو@ar										
609	نزيب	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml			نزيب@ar										
610	هيرابلس	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml			هيرابلس@ar										
14	Aleppo (Province)	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml			Aleppo (Province)@; ḥalab vilāyeti@ar-Latn-x-ijmes; vilāyet-i ḥalab@ota-Latn-x-ijmes; ولاية حلب@ar										
164	بيره جك	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:321062	بيره جك@ota; بيره جيك@ota; Birecik@tr				37.97841	37.02577					
571	Idlib	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:169389	إدلب@ar; ادلب@ar; الدب@ar; Idlib@en; Idlib@fr; Idlib@de; İdlip@tr				36.63393	35.93062					
573	الباب	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:174018	الباب@ar				37.5157	36.37051					
586	العمق	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:11954892	العمق@ar				44.05926	13.45095					
587	المرة	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:6820642	المرة@ar				44.14506	35.35903					
588	المعرة	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:168717	المعرة@ar				36.92755	35.5985					
574	Sanliurfa	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:298333	اورفة@ar; Sanliurfa@en; Édesse@fr; Şanlıurfa@tr				38.79392	37.16708					
591	بيلان	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:18162	بيلان@ar				45.1713	37.5317					
572	حارم	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:169866	حارم@ar				36.52078	36.21176					
595	خربوت	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:97385	خربوت@ar				43.90387	36.9031					
16	Dayr az Zawr	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:170794	Dayr al-Zur@; Deir ez-Zor@; Dayr al-Zūr@ar-Latn-x-ijmes; Dayr az Zawr@en; دير الزور@ar; Deyrizor@tr; Azaura@; DEZ@; Dair az-Zaur@; Dair az-Zaŭr@; Dajr az-Zaur@; Dajr ez-Zaur@; Dayr al-Zawr@; Dayr al-Zor@; Dayr az Zawr@; Dayr az Zur@; Dayr az Zūr@; Dayr az-Zawr@; Deir Azzor@; Deir Zzor@; Deir al-Zor@; Deir el-Zor@; Deir ez Zoar@; Deir ez Zor@; Deir ez Zoras@; Deir ez-Zor@; Dejr ez-Zor@; Dejr-ehz-Zor@; Dejr-ez-Zor@; Der Ezzor@; Der Zor@; Deyrizor@; Deïr ez Zor@				40.14084	35.33588					
17	سروج	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:9233	سروج@ar; Surūj@ar-Latn-x-ijmes				38.47967	36.85119					
606	قورس	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:350450	قورس@ar				31.06399	30.27692					
532	Mardin	oape	1850	https://github.com//OpenArabicPE/authority-files/data/tei/gazetteer_OpenArabicPE.TEIP5.xml		gn:304797	Mardin@ar-Latn-x-ijmes; ماردين@ar; Mardin@en; Mardin@fr; Mardin@de; Mardin@tr				40.74357	37.31309					
