"id","title.orig","title.Arab","title.Latn","language.main","language.other","date.onset.iso","date.onset.jd","date.terminus.iso","date.terminus.jd","date.documented.last.iso","date.documented.last.jd","location.id","toponym","toponym.Arab","toponym.Latn","lat","long","type","frequency","holdings","holdings.number","copies.number","digitised","digitised.number"
"oape:713","Abou-Naddara Zarka","Abou-Naddara Zarka","Abou-Naddara Zarka","ar","NA","1882-04-01","2.4085365E6","1884-12-31","2.4095415E6","NA","NaN","geon:2988507","Paris","باريز","Bāris","48.85341","2.3488","NA","NA","T","3","0","T","2"
"oape:827","Bêt Yisra'el","Bêt Yisra'el","Bêt Yisra'el","ar","jrb","1891-06-01","2.4118845E6","NA","NaN","NA","NaN","geon:2507480","Algiers","الجزائر","al-Jazāʾir","36.73225","3.08746","NA","NA","F","0","0","F","0"
"oape:559","جول مصور","جول مصور","جول مصور","ota","ar","1916-09-14","2.4211205E6","NA","NaN","NA","NaN","geon:295530","Beerseba","بئر السبع","Beerseba","31.25181","34.7913","journal","fortnightly","F","0","0","F","0"
"oclc:1007464762","Daily News","الديلي نيوز","Daily News","en","NA","1846-12-31","2.3956615E6","1912-12-31","2.4197675E6","NA","NaN","geon:2643743","London","لندن","Landan","51.50853","-0.12574","newspaper","daily","F","0","0","F","0"
"oape:72","Evening News","إيفنن نيوز","Evening News","en","NA","NA","NaN","NA","NaN","NA","NaN","NA","NA","NA","NA","NA","NA","NA","NA","F","0","0","F","0"
"oape:622","Ha-Mevaser","Ha-Mevaser","Ha-Mevaser","ar","jrb","1873-12-31","2.4055235E6","1878-12-31","2.4073495E6","NA","NaN","geon:1275004","Calcutta","كلكتا","Calcutta","22.56263","88.36304","NA","NA","F","0","0","F","0"
"oape:584","L'Aigle de Paris (Birgys)","L'Aigle de Paris (Birgys)","L'Aigle de Paris (Birgys)","ar","fr","1860-08-01","2.4006235E6","1861-12-31","2.4011405E6","NA","NaN","geon:2988507","Paris","باريز","Bāris","48.85341","2.3488","NA","NA","T","1","0","F","0"
"oape:107","L'Illustration","الالستراسيون","L'Illustration","fr","NA","NA","NaN","NA","NaN","NA","NaN","geon:2988507","Paris","باريز","Bāris","48.85341","2.3488","NA","NA","F","0","0","F","0"
"oape:3697","L'Univers","الاونيفر","L'Univers","fr","NA","NA","NaN","NA","NaN","NA","NaN","NA","NA","NA","NA","NA","NA","newspaper","NA","F","0","0","F","0"
"oape:98","L'Écho de Paris","الإيكو دي باري","L'Écho de Paris","fr","NA","NA","NaN","NA","NaN","NA","NaN","geon:2988507","Paris","باريز","Bāris","48.85341","2.3488","newspaper","daily","F","0","0","F","0"
