"id","title.orig","title.Arab","title.Latn","type","language.main","language.other","date.onset.iso","date.onset.jd","date.terminus.iso","date.terminus.jd","date.documented.last.iso","date.documented.last.jd","location.id","toponym","toponym.Arab","toponym.Latn","lat","long","periodical.type","holdings","digitised"
"oape:713","Abou-Naddara Zarka","Abou-Naddara Zarka","Abou-Naddara Zarka","NA","ar","NA","1882-04-01","2.4085365E6","1884-12-31","2.4095415E6","NA","NaN","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","NA","T","T"
"oape:827","Bêt Yisra'el","Bêt Yisra'el","Bêt Yisra'el","NA","ar","jrb","1891-06-01","2.4118845E6","NA","NaN","NA","NaN","geon:2507480","Algiers","الجزائر","Algiers","36.73225","3.08746","NA","F","F"
"oape:559","جول مصور","جول مصور","جول مصور","journal","ota","ar","1916-09-14","2.4211205E6","NA","NaN","NA","NaN","geon:295530","Beerseba","بئر السبع","Beerseba","31.25181","34.7913","journal","F","F"
"oape:72","Evening News","إيفنن نيوز","Evening News","NA","en","NA","","NaN","NA","NaN","NA","NaN","NA","NA","NA","NA","NA","NA","NA","F","F"
"oape:622","Ha-Mevaser","Ha-Mevaser","Ha-Mevaser","NA","ar","jrb","1873-12-31","2.4055235E6","1878-12-31","2.4073495E6","NA","NaN","geon:1275004","Calcutta","كلكتا","Calcutta","22.56263","88.36304","NA","F","F"
"oape:584","L'Aigle de Paris (Birgys)","L'Aigle de Paris (Birgys)","L'Aigle de Paris (Birgys)","NA","ar","fr","1860-08-01","2.4006235E6","1861-12-31","2.4011405E6","NA","NaN","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","NA","T","F"
"oape:107","L'Illustration","الالستراسيون","L'Illustration","NA","fr","NA","","NaN","NA","NaN","NA","NaN","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","NA","F","F"
"oape:3697","L'Univers","الاونيفر","L'Univers","newspaper","fr","NA","","NaN","NA","NaN","NA","NaN","NA","NA","NA","NA","NA","NA","newspaper","F","F"
"oape:98","L'Écho de Paris","الإيكو دي باري","L'Écho de Paris","newspaper","fr","NA","","NaN","NA","NaN","NA","NaN","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","newspaper","F","F"
"oape:753","L-Wahrani","L-Wahrani","L-Wahrani","NA","ar","jrb","1886-12-31","2.4102715E6","NA","NaN","NA","NaN","geon:2485926","Oran","وهران","Wihrān","35.69906","-0.63588","NA","T","F"
"oape:154","La Dépêche coloniale","الديبيش كلونيال","La Dépêche coloniale","newspaper","fr","NA","","NaN","NA","NaN","NA","NaN","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","newspaper","F","F"
"oape:816","La Jeunesse Israélite","La Jeunesse Israélite","La Jeunesse Israélite","NA","ar","jrb fr","1890-05-01","2.4114885E6","NA","NaN","NA","NaN","geon:2485926","Oran","وهران","Wihrān","35.69906","-0.63588","NA","F","F"
"oape:751","La Vigie Israëlite","La Vigie Israëlite","La Vigie Israëlite","NA","ar","jrb fr","1886-12-31","2.4102715E6","NA","NaN","NA","NaN","geon:2485926","Oran","وهران","Wihrān","35.69906","-0.63588","NA","F","F"
"oape:568","La décade égyptienne","La décade égyptienne","La décade égyptienne","NA","ar","fr","1799-12-15","2.3784795E6","1800-12-31","2.3788605E6","NA","NaN","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","NA","T","T"
"oape:648","Le Bavard Egyptien","Le Bavard Egyptien","Le Bavard Egyptien","NA","ar","NA","1878-12-31","2.4073495E6","1878-12-31","2.4073495E6","NA","NaN","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","NA","F","F"
