"source","target","periodical.id","periodical.name","periodical.name.transliterated","date.onset","edge.id","edge.type"
"227","396","1","لغة العرب","Lughat al-ʿArab","1911-06-30","","editor"
"1159","1142","3","الزهور","al-Zuhūr","1910-03-01","","editor"
"4189","3716","532","الزهور","الزهور"," ٢٣ رمضان سنة ١٣٣٠ ","","editor"
"780","2833","5","المقتطف","al-Muqtaṭaf","1876-06-01","","editor"
"780","934","5","المقتطف","al-Muqtaṭaf","1876-06-01","","editor"
"2833","934","5","المقتطف","al-Muqtaṭaf","1876-06-01","","editor"
"780","2833","6","المقتطف","المقتطف","1884","","editor"
"780","934","6","المقتطف","المقتطف","1884","","editor"
"2833","934","6","المقتطف","المقتطف","1884","","editor"
"771","2810","7","المشرق","al-Mashriq","1898-01-01","","editor"
"2801","4198","8","الجامعة","al-Jāmiʿ","1899-03-15","","editor"
"460","878","52","القبس","al-Qabas","","","editor"
"878","877","51","المقتبس","al-Muqtabas","","","editor"
"878","877","53","المقتبس","al-Muqtabas","","","editor"
"2808","2817","11","البيان","al-Bayān","1897-03-01","","editor"
"3749","4169","534","البيان","al-Bayān","1910","","editor"
"787","4144","28","الاتحاد العثماني","al-Ittiḥād al-ʿUthmānī","1908-09-22","","editor"
"305","307","34","الجنان","al-Jinān","1870-01-01","","editor"
"3673","4010","38","الحقوق","al-Ḥuqūq","","","editor"
"3673","4183","38","الحقوق","al-Ḥuqūq","","","editor"
"4010","4183","38","الحقوق","al-Ḥuqūq","","","editor"
"4115","4181","536","الحقوق","al-Ḥuqūq","1912-01-18","","editor"
"4152","555","30","الحقيقة","al-Ḥaqīqa","1909","","editor"
"1845","1845","531","الحياة","al-Ḥayāt","شباط ١٩١٢ ","","editor"
"1845","647","531","الحياة","al-Ḥayāt","شباط ١٩١٢ ","","editor"
"1845","647","531","الحياة","al-Ḥayāt","شباط ١٩١٢ ","","editor"
"2808","2817","37","الطبيب","al-Ṭabīb","1874","","editor"
"2808","4196","37","الطبيب","al-Ṭabīb","1874","","editor"
"2817","4196","37","الطبيب","al-Ṭabīb","1874","","editor"
"125","4136","44","العرب","al-ʿArab","","","editor"
