"source","target","language","edge.type"
"oape:72","oape:100","en","lang"
"oape:72","oape:112","en","lang"
"oape:72","oape:156","en","lang"
"oape:72","oape:157","en","lang"
"oape:72","oape:158","en","lang"
"oape:72","oape:159","en","lang"
"oape:72","oape:160","en","lang"
"oape:72","oape:161","en","lang"
"oape:72","oape:171","en","lang"
"oape:72","oape:541","en","lang"
"oape:72","oape:264","en","lang"
"oape:107","oape:125","fr","lang"
"oape:107","oape:139","fr","lang"
"oape:107","oape:154","fr","lang"
"oape:107","oape:227","fr","lang"
"oape:107","oape:403","fr","lang"
"oape:107","oape:467","fr","lang"
"oape:107","oape:355","fr","lang"
"oape:107","oape:547","fr","lang"
"oape:107","oape:564","fr","lang"
"oape:107","oape:68","fr","lang"
"oape:107","oape:562","fr","lang"
"oape:107","oape:461","fr","lang"
"oape:107","oape:370","fr","lang"
"oape:107","oape:67","fr","lang"
"oape:98","oape:106","fr","lang"
"oape:98","oape:111","fr","lang"
"oape:98","oclc:472522226","fr","lang"
"oape:98","oclc:183354137","fr","lang"
"oape:98","oape:115","fr","lang"
"oape:98","oape:107","fr","lang"
"oape:98","oape:125","fr","lang"
"oape:98","oape:139","fr","lang"
"oape:98","oape:154","fr","lang"
"oape:98","oape:227","fr","lang"
"oape:98","oape:403","fr","lang"
"oape:98","oape:467","fr","lang"
"oape:98","oape:355","fr","lang"
"oape:98","oape:547","fr","lang"
"oape:98","oape:564","fr","lang"
"oape:98","oape:68","fr","lang"
"oape:98","oape:562","fr","lang"
"oape:98","oape:461","fr","lang"
"oape:98","oape:370","fr","lang"
"oape:98","oape:67","fr","lang"
"oape:154","oape:227","fr","lang"
"oape:154","oape:403","fr","lang"
"oape:154","oape:467","fr","lang"
"oape:154","oape:355","fr","lang"
"oape:154","oape:547","fr","lang"
"oape:154","oape:564","fr","lang"
"oape:154","oape:68","fr","lang"
"oape:154","oape:562","fr","lang"
"oape:154","oape:461","fr","lang"
"oape:154","oape:370","fr","lang"
"oape:154","oape:67","fr","lang"
"oape:139","oape:154","fr","lang"
"oape:139","oape:227","fr","lang"
"oape:139","oape:403","fr","lang"
"oape:139","oape:467","fr","lang"
"oape:139","oape:355","fr","lang"
"oape:139","oape:547","fr","lang"
"oape:139","oape:564","fr","lang"
"oape:139","oape:68","fr","lang"
"oape:139","oape:562","fr","lang"
"oape:139","oape:461","fr","lang"
"oape:139","oape:370","fr","lang"
"oape:139","oape:67","fr","lang"
"oape:227","oape:403","fr","lang"
"oape:227","oape:467","fr","lang"
"oape:227","oape:355","fr","lang"
"oape:227","oape:547","fr","lang"
"oape:227","oape:564","fr","lang"
"oape:227","oape:68","fr","lang"
"oape:227","oape:562","fr","lang"
"oape:227","oape:461","fr","lang"
"oape:227","oape:370","fr","lang"
"oape:227","oape:67","fr","lang"
"oape:115","oape:107","fr","lang"
"oape:115","oape:125","fr","lang"
"oape:115","oape:139","fr","lang"
"oape:115","oape:154","fr","lang"
"oape:115","oape:227","fr","lang"
"oape:115","oape:403","fr","lang"
"oape:115","oape:467","fr","lang"
"oape:115","oape:355","fr","lang"
"oape:115","oape:547","fr","lang"
"oape:115","oape:564","fr","lang"
"oape:115","oape:68","fr","lang"
"oape:115","oape:562","fr","lang"
"oape:115","oape:461","fr","lang"
"oape:115","oape:370","fr","lang"
"oape:115","oape:67","fr","lang"
"oclc:472522226","oclc:183354137","fr","lang"
"oclc:472522226","oape:115","fr","lang"
"oclc:472522226","oape:107","fr","lang"
"oclc:472522226","oape:125","fr","lang"
"oclc:472522226","oape:139","fr","lang"
"oclc:472522226","oape:154","fr","lang"
"oclc:472522226","oape:227","fr","lang"
"oclc:472522226","oape:403","fr","lang"
"oclc:472522226","oape:467","fr","lang"
"oclc:472522226","oape:355","fr","lang"
"oclc:472522226","oape:547","fr","lang"
"oclc:472522226","oape:564","fr","lang"
"oclc:472522226","oape:68","fr","lang"
"oclc:472522226","oape:562","fr","lang"
"oclc:472522226","oape:461","fr","lang"
"oclc:472522226","oape:370","fr","lang"
"oclc:472522226","oape:67","fr","lang"
"oclc:183354137","oape:115","fr","lang"
"oclc:183354137","oape:107","fr","lang"
"oclc:183354137","oape:125","fr","lang"
"oclc:183354137","oape:139","fr","lang"
"oclc:183354137","oape:154","fr","lang"
"oclc:183354137","oape:227","fr","lang"
"oclc:183354137","oape:403","fr","lang"
"oclc:183354137","oape:467","fr","lang"
"oclc:183354137","oape:355","fr","lang"
"oclc:183354137","oape:547","fr","lang"
"oclc:183354137","oape:564","fr","lang"
"oclc:183354137","oape:68","fr","lang"
"oclc:183354137","oape:562","fr","lang"
"oclc:183354137","oape:461","fr","lang"
"oclc:183354137","oape:370","fr","lang"
"oclc:183354137","oape:67","fr","lang"
"oape:395","oape:399","ar","lang"
"oape:395","oape:401","ar","lang"
"oape:395","oape:512","ar","lang"
"oape:395","oape:513","ar","lang"
"oape:395","oape:514","ar","lang"
"oape:395","oape:516","ar","lang"
"oape:395","oape:517","ar","lang"
"oape:395","oape:518","ar","lang"
"oape:395","oape:519","ar","lang"
"oape:395","oape:520","ar","lang"
"oape:395","oape:521","ar","lang"
"oape:395","oape:522","ar","lang"
"oape:395","oape:523","ar","lang"
"oape:395","oape:524","ar","lang"
"oape:395","oape:525","ar","lang"
"oape:395","oape:526","ar","lang"
"oape:395","oape:538","ar","lang"
"oape:395","oape:539","ar","lang"
"oape:395","oape:540","ar","lang"
"oape:395","oape:542","ar","lang"
"oape:395","oape:551","ar","lang"
"oape:395","oape:552","ar","lang"
"oape:395","oape:553","ar","lang"
"oape:395","oape:554","ar","lang"
"oape:395","oape:555","ar","lang"
"oape:395","oape:556","ar","lang"
"oape:395","oape:557","ar","lang"
"oape:395","oape:558","ar","lang"
"oape:395","oape:560","ar","lang"
"oape:395","oape:563","ar","lang"
"oape:395","oape:565","ar","lang"
