"source","target","label","edge.type"
"geon:2988507","geon:2988507","oape:713","holding"
"geon:2988507","geon:2988507","oape:713","holding"
"geon:2988507","geon:2988507","oape:584","holding"
"geon:2485926","geon:2988507","oape:753","holding"
"geon:360630","geon:2643743","oape:568","holding"
"geon:360630","geon:2988507","oape:568","holding"
"geon:360630","geon:2643743","oape:1078","holding"
"geon:266045","geon:276781","oape:519","holding"
"geon:266045","geon:276781","oape:519","holding"
"geon:2988507","geon:2988507","oape:702","holding"
"geon:2988507","geon:2988507","oape:702","holding"
"geon:2988507","geon:2988507","oape:741","holding"
"geon:2988507","geon:2988507","oape:741","holding"
"geon:745044","geon:745044","oape:1093","holding"
"geon:745044","geon:745044","oape:1093","holding"
"geon:745044","geon:745044","oape:1093","holding"
"geon:2507480","geon:2988507","oape:1170","holding"
"geon:170654","geon:276781","oape:3130","holding"
"geon:360630","geon:360630","oape:881","holding"
"geon:3448439","geon:276781","oape:1473","holding"
"geon:3448439","geon:276781","oape:1473","holding"
"geon:268064","geon:276781","oape:2984","holding"
"geon:2988507","geon:2988507","oape:684","holding"
"geon:2988507","geon:360630","oape:684","holding"
"geon:2988507","geon:2988507","oape:684","holding"
"geon:2988507","geon:2988507","oape:683","holding"
"geon:2988507","geon:360630","oape:683","holding"
"geon:2988507","geon:2988507","oape:683","holding"
"geon:2988507","geon:2988507","oape:731","holding"
"geon:2988507","geon:2988507","oape:731","holding"
"geon:2988507","geon:2988507","oape:731","holding"
"geon:2988507","geon:2988507","oape:666","holding"
"geon:2988507","geon:360630","oape:666","holding"
"geon:2988507","geon:2988507","oape:666","holding"
"geon:281184","geon:281184","oape:2819","holding"
"geon:2562305","geon:2640729","oape:572","holding"
"geon:276781","geon:2643743","oape:624","holding"
"geon:276781","geon:276781","oape:588","holding"
"geon:276781","geon:276781","oape:588","holding"
"geon:276781","geon:2643743","oape:576","holding"
"geon:276781","geon:5128581","oape:576","holding"
"geon:276781","geon:276781","oape:598","holding"
"geon:276781","geon:2988507","oape:596","holding"
"geon:276781","geon:276781","oape:596","holding"
"geon:266045","geon:276781","oclc:1034551122","holding"
"geon:266045","geon:276781","oclc:1034551122","holding"
"geon:360630","geon:360630","oape:762","holding"
"geon:360630","geon:360630","oape:78","holding"
"geon:276781","geon:360630","oape:79","holding"
"geon:276781","geon:2988507","oape:79","holding"
"geon:2507480","geon:2988507","oape:3238","holding"
"geon:2507480","geon:2507480","oape:3238","holding"
"geon:8041193","geon:360630","oape:82","holding"
"geon:8041193","geon:2988507","oape:82","holding"
"geon:8041193","geon:498817","oape:82","holding"
"geon:3448439","geon:4931972","oclc:712905892","holding"
"geon:276781","geon:276781","oclc:1086411815","holding"
"geon:276781","geon:276781","oclc:1086411815","holding"
"geon:170017","geon:276781","oclc:175314357","holding"
"geon:170017","geon:5102922","oclc:175314357","holding"
"geon:361058","geon:360630","oape:905","holding"
"geon:2988507","geon:2643743","oape:3246","holding"
"geon:2464470","geon:2464470","oape:888","holding"
"geon:276781","geon:250441","oclc:42900564","holding"
"geon:276781","geon:276781","oclc:42900564","holding"
"geon:276781","geon:276781","oclc:42900564","holding"
"geon:281577","geon:2950159","oape:2817","holding"
"geon:281577","geon:281184","oape:2817","holding"
"geon:3448439","geon:276781","oape:2254","holding"
"geon:361058","geon:360630","oape:698","holding"
"geon:276781","geon:2867714","oclc:224826339","holding"
"geon:276781","geon:2925177","oclc:224826339","holding"
"geon:276781","geon:276781","oclc:1086458734","holding"
"geon:276781","geon:276781","oclc:1086458734","holding"
"geon:276781","geon:276781","oclc:1086458734","holding"
"geon:276781","geon:276781","oclc:1086458734","holding"
"geon:276781","geon:276781","oclc:792755775","holding"
"geon:276781","geon:276781","oclc:792755775","holding"
"geon:276781","geon:2946447","oclc:792755775","holding"
"geon:1625822","geon:1642911","oape:2862","holding"
"geon:361058","geon:360630","oape:718","holding"
"geon:360630","geon:360630","oape:1180","holding"
"geon:360630","geon:2867714","oclc:239681663","holding"
"geon:3836873","geon:276781","oape:2487","holding"
"geon:293253","geon:2950159","oape:1709","holding"
"geon:293253","geon:281184","oape:1709","holding"
"geon:360630","geon:360630","oape:985","holding"
"geon:360630","geon:276781","oclc:183335016","holding"
"geon:360630","geon:2925533","oclc:183335016","holding"
"geon:360630","geon:2867714","oclc:183335016","holding"
"geon:360630","geon:2867714","oclc:183335016","holding"
"geon:360630","geon:2820860","oclc:183335016","holding"
