"source","target","label","edge.type"
"oape:741","oape:731","fr","lang"
"oape:741","oape:666","fr","lang"
"oape:741","oape:1053","fr","lang"
"oape:741","oape:657","fr","lang"
"oape:741","oape:569","fr","lang"
"oape:741","oape:1146","fr","lang"
"oape:741","oape:1113","fr","lang"
"oape:741","oape:637","fr","lang"
"oape:741","oape:697","fr","lang"
"oape:741","oape:773","fr","lang"
"oape:741","oape:724","fr","lang"
"oape:741","oape:1013","fr","lang"
"oape:741","oape:714","fr","lang"
"oape:741","oape:650","fr","lang"
"oape:741","oape:582","fr","lang"
"oape:741","oape:957","fr","lang"
"oape:741","oape:618","fr","lang"
"oape:741","oape:2884","fr","lang"
"oape:741","oape:663","fr","lang"
"oape:741","oape:716","fr","lang"
"oape:741","oape:910","fr","lang"
"oape:741","oape:669","fr","lang"
"oape:741","oape:2456","fr","lang"
"oape:741","oape:717","fr","lang"
"oape:702","oape:741","fr","lang"
"oape:702","oape:731","fr","lang"
"oape:702","oape:666","fr","lang"
"oape:702","oape:1053","fr","lang"
"oape:702","oape:657","fr","lang"
"oape:702","oape:569","fr","lang"
"oape:702","oape:1146","fr","lang"
"oape:702","oape:1113","fr","lang"
"oape:702","oape:637","fr","lang"
"oape:702","oape:697","fr","lang"
"oape:702","oape:773","fr","lang"
"oape:702","oape:724","fr","lang"
"oape:702","oape:1013","fr","lang"
"oape:702","oape:714","fr","lang"
"oape:702","oape:650","fr","lang"
"oape:702","oape:582","fr","lang"
"oape:702","oape:957","fr","lang"
"oape:702","oape:618","fr","lang"
"oape:702","oape:2884","fr","lang"
"oape:702","oape:663","fr","lang"
"oape:702","oape:716","fr","lang"
"oape:702","oape:910","fr","lang"
"oape:702","oape:669","fr","lang"
"oape:702","oape:2456","fr","lang"
"oape:702","oape:717","fr","lang"
"oape:731","oape:666","fr","lang"
"oape:731","oape:1053","fr","lang"
"oape:731","oape:657","fr","lang"
"oape:731","oape:569","fr","lang"
"oape:731","oape:1146","fr","lang"
"oape:731","oape:1113","fr","lang"
"oape:731","oape:637","fr","lang"
"oape:731","oape:697","fr","lang"
"oape:731","oape:773","fr","lang"
"oape:731","oape:724","fr","lang"
"oape:731","oape:1013","fr","lang"
"oape:731","oape:714","fr","lang"
