"id","name.Arab","name.Latn","place","lat","long","type"
"oape:313","Ansbach HS","Ansbach HS","Ansbach","49.30629","10.56628","collection"
"oape:1","Arquivo Público do Estado de São Paulo","Arquivo Público do Estado de São Paulo","Sao Paolo","-23.5475","-46.63611","collection"
"oape:2","Arshīf ʿĀmm al-Ḥukūma, Tunis","Arshīf ʿĀmm al-Ḥukūma, Tunis","Tunis","36.81897","10.16579","collection"
"oape:3","Atatürk Kitapliği, Digital Collection (available only at computers in the AKI), Istanbul","Atatürk Kitapliği, Digital Collection (available only at computers in the AKI), Istanbul","Istanbul","41.01384","28.94966","collection"
"oape:4","Atatürk Kitapliği, Istanbul","Atatürk Kitapliği, Istanbul","Istanbul","41.01384","28.94966","collection"
"oape:5","Atıf Effendi (Yazma Eser) Kütüphanesi, Istanbul","Atıf Effendi (Yazma Eser) Kütüphanesi, Istanbul","Istanbul","41.01384","28.94966","collection"
"oape:325","Augsburg HSB","Augsburg HSB","Augsburg","48.35597","10.90591","collection"
"oape:326","Augsburg SuStB","Augsburg SuStB","Augsburg","48.36955","10.89055","collection"
"oape:324","Augsburg UB","Augsburg UB","Augsburg","48.33478","10.89512","collection"
"oape:273","Bamberg UB","Bamberg UB","Bamberg","49.90680","10.90426","collection"
"oape:6","Bayerische Staatsbibliothek, München","Bayerische Staatsbibliothek, München","Munich","48.13743","11.57549","collection"
"oape:329","Bayreuth UB","Bayreuth UB","Bayreuth","49.92978","11.58613","collection"
"oape:266","Beirut Orient-Institut","Beirut Orient-Institut","Beirut","33.89339","35.49683","collection"
"oape:362","Berlin AdW Bib","Berlin AdW Bib","Berlin","52.51779","13.39221","collection"
"oape:296","Berlin BPA","Berlin BPA","Berlin","52.51851","13.38365","collection"
"oape:297","Berlin Bundesarchiv Bibliothek","Berlin Bundesarchiv Bibliothek","Berlin","52.43086","13.29988","collection"
"oape:320","Berlin FU E-Medien","Berlin FU E-Medien","Berlin","52.44829","13.27714","collection"
"oape:401","Berlin Ges.f. Erdkunde","Berlin Ges.f. Erdkunde","Berlin","52.42702","13.35607","collection"
"oape:352","Berlin HTW","Berlin HTW","Berlin","52.49277","13.52621","collection"
"oape:356","Berlin IAI","Berlin IAI","Berlin","52.50691","13.36973","collection"
"oape:389","Berlin Jüdisches Museum","Berlin Jüdisches Museum","Berlin","52.50176","13.39571","collection"
"oape:269","Berlin Orient-Inst.","Berlin Orient-Inst.","Berlin","52.51094","13.38719","collection"
"oape:263","Berlin SBB Haus Potsdamer Str","Berlin SBB Haus Potsdamer Str","Berlin","52.50771","13.37063","collection"
"oape:265","Berlin SBB Haus Unter d.Linden","Berlin SBB Haus Unter d.Linden","Berlin","52.51755","13.39162","collection"
