"id","name","birth.date","death.date","type"
"viaf:39370998","انستاس ماري الكرملي","1866-08-05","1947-01-07","person"
"wiki:Q12234292","كاظم الدجيلي","1884","1970","person"
"viaf:51716068","رشيد رضا","NA","NA","person"
"viaf:305214858","انطون الجميل","1887","1948","person"
"oape:1142","امين تقي الدين","NA","NA","person"
"oape:4189","نوري افندي","NA","NA","person"
"oape:3716","صلاح الدين أفندي الكركوكي","NA","NA","person"
"viaf:72750911","عبد الله النديم","1845","1896-10-13","person"
"viaf:62958224","يعقوب صروف","1852","1927","person"
"wiki:Q12230077","فارس نمر","NA","NA","person"
"viaf:38237868","شاهين مكاريوس","1853","1910","person"
"viaf:77068906","لويس شيخو","1859-02-05","1927-12-07","person"
"oape:2810","الاب لويس خليل","NA","NA","person"
"viaf:2749071","فرح انطون","1874","1922-07-03","person"
"oape:4198","مخائيل كرم","NA","NA","person"
"viaf:32272677","كرد علي","1876-01-01","1953-01-01","person"
"viaf:160786315","شكري العسلي","1868","1916-05-06","person"
"oape:877","احمد كرد علي","NA","NA","person"
"viaf:76496271","جرجي زيدان","1861-12-14","1914-07-21","person"
"viaf:64154472","ابراهيم اليازجي","1847-03-02","1906-12-28","person"
"viaf:57953733","بشارة زلزل","NA","1905","person"
"oape:3749","عبد الرحمن البرقوقي","NA","NA","person"
"oape:4169","محمد السباعي","NA","NA","person"
"oape:4150","سليمان بن بدور","NA","NA","person"
"viaf:306137154","احمد عارف الزين","1881","1960","person"
"viaf:40250618","عيسى اسكندر المعلوف","1869-04-11","1956-07-02","person"
"viaf:305214837","احمد حسن طبارة","1871","1916-05-06","person"
"oape:4144","سعيد عقل","NA","NA","person"
"viaf:79119650","بطرس البستاني","NA","1883-05-01","person"
"viaf:21245607","سليم البستاني","1846-12-28","1884-09-19","person"
"viaf:311789687","جرجي نقولا باز","1881","1959","person"
"viaf:4795364","عبد القادر الاسكندراني","1875","1943","person"
"viaf:311789538","سليم المعوشي","NA","NA","person"
"viaf:311789537","ملحم خلف","1962-01-20","NA","person"
"oape:4183","ميخائيل بن جرجس","NA","NA","person"
"oape:4115","اصغر زاده معروف افندي","NA","NA","person"
"oape:4181","معروف افندي","NA","NA","person"
"oape:4152","احمد عباس الازهري","NA","NA","person"
"viaf:311789757","حسن الناطور","NA","NA","person"
"viaf:53094077","محمد فريد وجدي","1875","1954","person"
"viaf:21058435","سليمان الدخيل","1877","1945-12-28","person"
"oape:647","ابراهيم حلمي البغدادي","1890","1942","person"
"viaf:305215096","طه مدور","1882","1961","person"
"oape:4196","خالد سعادة","NA","NA","person"
"oape:4102","اسكندر بارودي","NA","NA","person"
"oape:125","عبيد الله","NA","NA","person"
"oape:4136","حمد الجاسر","NA","NA","person"
"viaf:305214784","ناصيف ابو زيد","1867","1915","person"
"viaf:305214884","جرجي حداد","NA","1916-05-06","person"
"viaf:46611500","سليم عنحوري","1855","1933","person"
"oape:4114","اسكندر المرحالا","NA","NA","person"
"viaf:118641865","محمد علي هبة الدين","1884-05-20","1976-02-05","person"
"viaf:305214783","بولس الخولي","1876","1948","person"
"oape:4190","هورد بلس","NA","NA","person"
"oape:3707","علي يوسف","NA","NA","person"
"oape:4199","احمد مادي","NA","NA","person"
"oape:4108","احمد افندي حافظ عوض","NA","NA","person"
"oape:4129","جميل بن نخله المدور","NA","NA","person"
"oape:2958","محمد مسعود","NA","NA","person"
"oape:3926","محمد ابو شادي","NA","NA","person"
"oape:4179","مصطفى الدمياطي","NA","NA","person"
"viaf:37216757","عبد الغني العريسي","1890","1916-05-06","person"
"oape:606","حسن بيهم","NA","NA","person"
"oape:4162","فؤاد حنتس","NA","NA","person"
"oape:4095","احمد صلاح الدين","NA","NA","person"
"viaf:60135237","شبلي ملاط","1875","1961","person"
"viaf:123147905332979092816","نجيب شوشاني","NA","NA","person"
"oape:4197","فيليكس فارس","NA","NA","person"
"oape:4122","باترو باولي","NA","NA","person"
"oape:4182","ميخائيل افندي عبد السيد","NA","NA","person"
"oape:4103","ابراهيم جندي","NA","NA","person"
"oape:4133","حسن بن علوي بن شهاد الدين","NA","NA","person"
"oape:4096","الفايد بن حنا عيد","NA","NA","person"
"oape:2901","ويليام ستيد","NA","NA","person"
"viaf:305214729","سليم تقلا","1849","1892-08-08","person"
"oape:4093","بشارة تقلا","NA","NA","person"
"oape:4187","نحيب طراد","NA","NA","person"
"oape:4141","رشيد شميل","NA","NA","person"
"oape:4186","نجيب ابراهبم طراد","NA","NA","person"
"oape:1673","داود بركات","NA","NA","person"
"viaf:67568293","نقولا حداد","1872","1954","person"
