"name","id.geon","id.wiki","id.oape"
"الولايات العثمانية","NA","NA","1"
"قصر ييلدز","NA","NA","2"
"الأستانة","745044","NA","3"
"بلاد الشام","6754242","NA","4"
"القدس","281184","NA","6"
"النبطية","7870014","NA","7"
"يافا","293253","NA","12"
"جبل عامل","278960","NA","5"
"صور","267008","NA","8"
"صيدا","268064","NA","9"
"ولاية حلب","NA","NA","14"
"بيره جك","321062","NA","164"
"إسكندرونة","311111","NA","13"
"حلب","170063","NA","15"
"دير الزور","170794","NA","16"
"سروج","9233","NA","17"
"لواء اللاذقية","NA","NA","18"
"اللاذقية","173576","NA","19"
"قضاء عينتاب","NA","NA","20"
"عينتاب","314830","NA","21"
"Mersin","304531","NA","23"
"أضنة","325363","NA","22"
"طرسوس","299817","NA","24"
"ولاية بيروت","NA","NA","25"
"بيروت","276781","NA","26"
"عبي","276789","NA","27"
"عاليه","280425","NA","28"
"النصارة","294098","NA","369"
"طبرية","293322","NA","10"
"نابلس","7870555","NA","11"
"لواء طرابلس","NA","NA","29"
"طرابلس الشام","266826","NA","30"
"عكار","274723","NA","31"
"لواء عكا","NA","NA","32"
"عكا","295721","NA","33"
"قضاء حيفا","NA","NA","34"
"حيفا","294801","NA","35"
"سورية","163843","NA","36"
"Madā’in Şāliḩ","104645","NA","37"
"تبوك","101628","NA","38"
"District 12","4353210","NA","39"
"مرجعيون","271225","NA","40"
"الزبداني","172059","NA","42"
"برزة","171742","NA","41"
"القدم","173394","NA","43"
"بلودان","171331","NA","44"
"دمر","170585","NA","45"
"قابون","173396","NA","46"
"محطة القدم","173393","NA","47"
"عين الفيجة","7894838","NA","48"
"Damascus (kaza)","NA","NA","49"
"المزة","173470","NA","51"
"اليرموك","8422856","NA","52"
"جوبر","169137","NA","53"
"كفر سوسة","11395650","NA","50"
"ناحية جرمانا","8609526","NA","54"
"الغوطة","173866","NA","55"
"River Barada","NA","NA","56"
"River Sufaniyya","NA","NA","57"
"River Thawra","NA","NA","58"
"River Zaynabiyya","NA","NA","59"
"Straight Street","NA","NA","60"
"دمشق","170654","NA","61"
"Jewish Quarter","NA","NA","62"
"British consulate","NA","NA","63"
"جامع التوبة","7642661","NA","64"
"قلعة دمشق","7642380","NA","65"
"ساحة الاتحاد","7642535","NA","66"
"Ad Daḩdāḩ","174271","NA","67"
"العمارة البرانية","7642458","NA","68"
"العمارة الجوانية","173263","NA","69"
"Mazz al-Qaṣab","NA","NA","70"
"باب السلام","7642459","NA","71"
"عقيبة","173134","NA","72"
"المسجد المعلق","NA","NA","73"
"جامع السادات","8430647","NA","74"
"Qanāyat al-Ḥuṭub","NA","NA","76"
"Sāḥat al-Dawāmina","NA","NA","75"
"باب تومى","7642471","NA","77"
"Sufaniyya","NA","NA","78"
"Tala' al -Qubba","NA","NA","79"
"باب شرقي","7642405","NA","80"
"ʿAzīziyya Barracks","NA","NA","81"
"Greek Orthodox Patriarchate","NA","NA","82"
"Greek Catholic Patriarchate","NA","NA","83"
"Ḥammām al-Bakrī","NA","NA","84"
"St. John's","NA","NA","85"
"Darwishiyya","NA","NA","87"
"Marja","2330755","NA","86"
